year,通学地コード,通学地,常住地／全国総数（人）,常住地／東京都総数（人）,常住地／区部（人）,常住地／千代田区（人）,常住地／中央区（人）,常住地／港区（人）,常住地／新宿区（人）,常住地／文京区（人）,常住地／台東区（人）,常住地／墨田区（人）,常住地／江東区（人）,常住地／品川区（人）,常住地／目黒区（人）,常住地／大田区（人）,常住地／世田谷区（人）,常住地／渋谷区（人）,常住地／中野区（人）,常住地／杉並区（人）,常住地／豊島区（人）,常住地／北区（人）,常住地／荒川区（人）,常住地／板橋区（人）,常住地／練馬区（人）,常住地／足立区（人）,常住地／葛飾区（人）,常住地／江戸川区（人）,常住地が他道府県／総数（人）,常住地が他道府県／関東地方／総数（人）,常住地が他道府県／関東地方／茨城県（人）,常住地が他道府県／関東地方／栃木県（人）,常住地が他道府県／関東地方／群馬県（人）,常住地が他道府県／関東地方／埼玉県（人）,常住地が他道府県／関東地方／千葉県（人）,常住地が他道府県／関東地方／神奈川県（人）,常住地が他道府県／他の道府県（人）
2015,13215,国立市,13352.0,10877.0,1447.0,11.0,8.0,14.0,58.0,39.0,11.0,13.0,38.0,31.0,34.0,61.0,272.0,36.0,88.0,368.0,37.0,17.0,9.0,57.0,153.0,26.0,23.0,43.0,2475.0,2248.0,45.0,27.0,15.0,755.0,295.0,1111.0,227.0
2015,13218,福生市,3732.0,3713.0,7.0,,1.0,,,,,,,,,,2.0,,1.0,1.0,,,,1.0,1.0,,,,19.0,17.0,5.0,1.0,,7.0,1.0,3.0,2.0
2015,13219,狛江市,4787.0,4650.0,193.0,,,1.0,,1.0,,,,2.0,3.0,4.0,158.0,3.0,2.0,8.0,2.0,2.0,,3.0,2.0,,,2.0,137.0,93.0,11.0,3.0,5.0,15.0,11.0,48.0,44.0
2015,13220,東大和市,7120.0,7054.0,19.0,,,,,,,,,,,,3.0,,2.0,2.0,,,,,12.0,,,,66.0,55.0,1.0,1.0,3.0,41.0,3.0,6.0,11.0
2015,13221,清瀬市,7933.0,6619.0,545.0,1.0,4.0,2.0,16.0,15.0,3.0,7.0,15.0,6.0,5.0,8.0,24.0,2.0,25.0,41.0,19.0,12.0,4.0,37.0,247.0,16.0,15.0,21.0,1314.0,1235.0,47.0,28.0,19.0,872.0,152.0,117.0,79.0
2015,13222,東久留米市,8866.0,8683.0,330.0,,4.0,1.0,12.0,14.0,2.0,1.0,2.0,1.0,7.0,2.0,10.0,8.0,11.0,27.0,16.0,6.0,2.0,24.0,167.0,8.0,1.0,4.0,183.0,160.0,2.0,1.0,,133.0,7.0,17.0,23.0
2015,13223,武蔵村山市,7024.0,6835.0,69.0,,,,,,,1.0,1.0,,1.0,,5.0,,5.0,11.0,2.0,,,2.0,37.0,1.0,1.0,2.0,189.0,173.0,6.0,,4.0,122.0,13.0,28.0,16.0
2015,13224,多摩市,16331.0,12560.0,1122.0,7.0,13.0,20.0,26.0,18.0,14.0,19.0,35.0,39.0,26.0,85.0,382.0,23.0,30.0,110.0,17.0,17.0,11.0,39.0,58.0,38.0,39.0,56.0,3771.0,3425.0,91.0,42.0,51.0,545.0,306.0,2390.0,346.0
2015,13225,稲城市,8550.0,7711.0,150.0,,2.0,2.0,4.0,2.0,2.0,1.0,10.0,7.0,5.0,12.0,37.0,4.0,7.0,17.0,,2.0,3.0,7.0,11.0,2.0,3.0,10.0,839.0,775.0,15.0,6.0,18.0,105.0,40.0,591.0,64.0
2015,13227,羽村市,4664.0,4642.0,5.0,,,,,,,,,,1.0,,1.0,,1.0,,,,,,1.0,,,1.0,22.0,20.0,2.0,,,7.0,4.0,7.0,2.0
2015,13228,あきる野市,7406.0,7237.0,38.0,,,,1.0,1.0,,,1.0,,,1.0,3.0,1.0,3.0,6.0,2.0,1.0,,3.0,10.0,1.0,1.0,3.0,169.0,146.0,2.0,,,74.0,7.0,63.0,23.0
2015,13229,西東京市,16699.0,15122.0,817.0,2.0,2.0,5.0,30.0,9.0,9.0,10.0,14.0,7.0,10.0,29.0,41.0,7.0,64.0,104.0,16.0,7.0,6.0,26.0,345.0,22.0,18.0,34.0,1577.0,1372.0,71.0,31.0,41.0,582.0,330.0,317.0,205.0
2015,13300,郡部,4063.0,4039.0,14.0,,,,1.0,,,,,,,,2.0,,1.0,,1.0,1.0,,1.0,4.0,,,3.0,24.0,19.0,1.0,,,17.0,,1.0,5.0
2015,13303,瑞穂町,2585.0,2567.0,11.0,,,,1.0,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,4.0,,,1.0,18.0,17.0,,,,17.0,,,1.0
2015,13305,日の出町,1166.0,1160.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,1.0,,,,,1.0,4.0
2015,13307,檜原村,90.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,13308,奥多摩町,222.0,222.0,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,
2015,13350,島部,2477.0,2449.0,32.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,,3.0,3.0,3.0,1.0,2.0,28.0,24.0,2.0,,,11.0,7.0,4.0,4.0
2015,13361,大島町,891.0,888.0,16.0,,,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,1.0,1.0,3.0,3.0,,,,,2.0,1.0,
2015,13362,利島村,35.0,29.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,6.0,4.0,2.0,,,2.0,,,2.0
2015,13363,新島村,236.0,234.0,4.0,,,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,,,,2.0,2.0,,,,1.0,1.0,,
2015,13364,神津島村,203.0,200.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,,,,2.0,,1.0,
2015,13381,三宅村,139.0,137.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,1.0,,,,1.0,,,1.0
2015,13382,御蔵島村,23.0,20.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,2.0,,,,,2.0,,1.0
2015,13401,八丈町,670.0,664.0,6.0,,1.0,,,,1.0,,,,,,,1.0,,1.0,,,,1.0,,1.0,,,6.0,6.0,,,,5.0,,1.0,
2015,13402,青ヶ島村,19.0,18.0,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,
2015,13421,小笠原村,261.0,259.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,1.0,1.0,
2015,8000,茨城県,,912.0,757.0,5.0,5.0,11.0,11.0,30.0,22.0,30.0,26.0,18.0,7.0,28.0,49.0,9.0,16.0,23.0,18.0,15.0,51.0,23.0,31.0,163.0,113.0,53.0,,,,,,,,,
2015,9000,栃木県,,160.0,111.0,,1.0,2.0,,7.0,6.0,2.0,6.0,8.0,5.0,9.0,5.0,1.0,3.0,3.0,5.0,6.0,5.0,7.0,9.0,9.0,6.0,6.0,,,,,,,,,
2015,10000,群馬県,,197.0,147.0,2.0,1.0,1.0,4.0,4.0,4.0,5.0,5.0,5.0,8.0,3.0,6.0,1.0,1.0,5.0,9.0,9.0,6.0,11.0,7.0,32.0,11.0,7.0,,,,,,,,,
2015,11000,埼玉県,,18597.0,11463.0,50.0,99.0,109.0,297.0,366.0,223.0,272.0,375.0,218.0,185.0,379.0,527.0,141.0,312.0,542.0,512.0,680.0,358.0,1499.0,1829.0,1372.0,558.0,560.0,,,,,,,,,
2015,12000,千葉県,,13816.0,12667.0,60.0,154.0,121.0,160.0,264.0,235.0,549.0,1154.0,245.0,127.0,445.0,325.0,116.0,145.0,273.0,184.0,229.0,371.0,328.0,356.0,1354.0,2068.0,3404.0,,,,,,,,,
2015,14000,神奈川県,,32241.0,19489.0,132.0,195.0,569.0,491.0,450.0,180.0,261.0,630.0,1272.0,1307.0,3791.0,4118.0,534.0,447.0,1065.0,385.0,360.0,200.0,557.0,928.0,480.0,377.0,760.0,,,,,,,,,
2020,13000,東京都総数,1332852.0,1076454.0,677767.0,4947.0,10955.0,14405.0,18220.0,21176.0,10609.0,16306.0,39986.0,28225.0,18246.0,52359.0,75651.0,12787.0,19731.0,41908.0,18125.0,22577.0,15443.0,40327.0,61554.0,45105.0,32187.0,56938.0,256398.0,241087.0,9278.0,3897.0,3711.0,75964.0,49492.0,98745.0,15311.0
2020,13100,区部,901784.0,700683.0,650758.0,4773.0,10707.0,13894.0,17343.0,20659.0,10383.0,15995.0,39171.0,27599.0,17604.0,51231.0,70420.0,11964.0,18377.0,37206.0,17551.0,22016.0,15161.0,39422.0,57166.0,44467.0,31717.0,55932.0,201101.0,191325.0,7884.0,3089.0,2708.0,61838.0,44760.0,71046.0,9776.0
2020,13101,千代田区,58135.0,31992.0,27080.0,3466.0,510.0,629.0,1115.0,1225.0,526.0,767.0,1798.0,731.0,604.0,1218.0,2453.0,484.0,657.0,1479.0,825.0,757.0,527.0,1264.0,1525.0,1259.0,962.0,2299.0,26143.0,24768.0,1245.0,487.0,421.0,7012.0,7871.0,7732.0,1375.0
2020,13102,中央区,9941.0,8911.0,8768.0,12.0,7057.0,56.0,34.0,51.0,56.0,99.0,328.0,64.0,18.0,130.0,59.0,16.0,28.0,46.0,28.0,25.0,45.0,40.0,55.0,128.0,97.0,296.0,1030.0,998.0,38.0,17.0,14.0,233.0,450.0,246.0,32.0
2020,13103,港区,35826.0,25090.0,23612.0,147.0,463.0,9165.0,398.0,632.0,242.0,257.0,1023.0,1341.0,947.0,1945.0,2006.0,563.0,282.0,652.0,341.0,303.0,254.0,507.0,602.0,485.0,356.0,701.0,10736.0,10405.0,223.0,69.0,85.0,2018.0,2327.0,5683.0,331.0
2020,13104,新宿区,65729.0,42155.0,34076.0,220.0,352.0,518.0,11268.0,1128.0,305.0,374.0,1109.0,666.0,579.0,1069.0,2475.0,612.0,2051.0,2025.0,1232.0,742.0,426.0,1250.0,2840.0,887.0,571.0,1377.0,23574.0,22320.0,867.0,373.0,343.0,7791.0,5117.0,7829.0,1254.0
2020,13105,文京区,58890.0,39477.0,36375.0,273.0,393.0,457.0,825.0,14021.0,696.0,579.0,1400.0,566.0,452.0,848.0,1559.0,374.0,444.0,904.0,1673.0,1339.0,809.0,2622.0,1827.0,1583.0,1127.0,1604.0,19413.0,18490.0,1006.0,293.0,268.0,7284.0,5250.0,4389.0,923.0
2020,13106,台東区,13394.0,11505.0,11256.0,24.0,83.0,45.0,58.0,183.0,6504.0,346.0,386.0,72.0,28.0,129.0,77.0,22.0,24.0,64.0,74.0,230.0,557.0,117.0,100.0,973.0,531.0,629.0,1889.0,1812.0,98.0,36.0,30.0,676.0,641.0,331.0,77.0
2020,13107,墨田区,17226.0,15580.0,15492.0,10.0,113.0,37.0,41.0,66.0,239.0,10822.0,917.0,45.0,8.0,80.0,42.0,15.0,25.0,39.0,23.0,62.0,198.0,48.0,37.0,679.0,738.0,1208.0,1646.0,1615.0,46.0,11.0,10.0,338.0,1056.0,154.0,31.0
2020,13108,江東区,36035.0,33026.0,32579.0,35.0,256.0,125.0,71.0,74.0,162.0,495.0,27109.0,223.0,70.0,278.0,164.0,49.0,53.0,102.0,75.0,93.0,144.0,164.0,168.0,441.0,403.0,1825.0,3009.0,2857.0,113.0,41.0,31.0,780.0,1227.0,665.0,152.0
2020,13109,品川区,34720.0,26670.0,25945.0,23.0,129.0,290.0,99.0,126.0,121.0,113.0,400.0,19020.0,504.0,2367.0,932.0,115.0,75.0,171.0,100.0,128.0,101.0,184.0,200.0,206.0,180.0,361.0,8050.0,7779.0,233.0,78.0,85.0,1231.0,1505.0,4647.0,271.0
2020,13110,目黒区,26418.0,20419.0,18588.0,47.0,72.0,260.0,142.0,237.0,72.0,95.0,272.0,779.0,10517.0,1608.0,2178.0,289.0,128.0,509.0,158.0,119.0,69.0,210.0,366.0,148.0,98.0,215.0,5999.0,5735.0,130.0,64.0,43.0,922.0,737.0,3839.0,264.0
2020,13111,大田区,46214.0,40482.0,40043.0,8.0,55.0,162.0,60.0,47.0,60.0,98.0,176.0,1112.0,317.0,36367.0,561.0,60.0,43.0,65.0,39.0,70.0,50.0,79.0,118.0,148.0,111.0,237.0,5732.0,5526.0,121.0,52.0,37.0,684.0,691.0,3941.0,206.0
2020,13112,世田谷区,98755.0,73499.0,64958.0,86.0,221.0,572.0,471.0,331.0,159.0,225.0,649.0,1096.0,1628.0,2250.0,50948.0,786.0,480.0,1490.0,342.0,331.0,170.0,496.0,886.0,444.0,303.0,594.0,25256.0,23818.0,792.0,361.0,323.0,4295.0,3092.0,14955.0,1438.0
2020,13113,渋谷区,38977.0,23856.0,20586.0,99.0,260.0,739.0,449.0,326.0,190.0,237.0,620.0,731.0,885.0,1147.0,2311.0,7417.0,409.0,1010.0,331.0,352.0,202.0,545.0,910.0,488.0,337.0,591.0,15121.0,14311.0,520.0,296.0,212.0,3888.0,2828.0,6567.0,810.0
2020,13114,中野区,26703.0,22047.0,18706.0,32.0,102.0,120.0,486.0,155.0,68.0,105.0,311.0,162.0,126.0,219.0,649.0,255.0,11442.0,1449.0,234.0,157.0,73.0,327.0,1522.0,196.0,143.0,373.0,4656.0,4415.0,178.0,48.0,49.0,1507.0,1113.0,1520.0,241.0
2020,13115,杉並区,45251.0,40158.0,34321.0,54.0,98.0,125.0,407.0,182.0,87.0,114.0,363.0,248.0,280.0,402.0,2021.0,387.0,923.0,25381.0,204.0,174.0,83.0,325.0,1768.0,184.0,125.0,386.0,5093.0,4600.0,156.0,65.0,99.0,1621.0,811.0,1848.0,493.0
2020,13116,豊島区,43894.0,28148.0,25384.0,94.0,243.0,292.0,646.0,848.0,311.0,209.0,589.0,367.0,333.0,579.0,1009.0,253.0,468.0,650.0,10418.0,942.0,457.0,2207.0,2535.0,858.0,485.0,591.0,15746.0,15116.0,685.0,268.0,197.0,7471.0,3103.0,3392.0,630.0
2020,13117,北区,26207.0,21081.0,20677.0,37.0,57.0,88.0,188.0,349.0,169.0,117.0,234.0,83.0,72.0,144.0,147.0,58.0,89.0,87.0,445.0,14574.0,575.0,1075.0,358.0,1102.0,352.0,277.0,5126.0,4965.0,146.0,70.0,41.0,3737.0,639.0,332.0,161.0
